"Año","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
1992,4.4,3.1,2.4,2.7,5.7,6.7,7.5,12.5,18,16.3,9.8,7.7
1993,5.8,6.5,6.7,4.6,15.5,12.9,11.6,7.8,16.8,14,8.5,12
1994,5.7,3.4,2.7,2.7,5.7,7.8,7.5,11.3,10.4,14.7,14.7,10.3
1995,4.8,4.8,3.1,3.5,8.2,10.5,9.9,15.6,22.3,20.9,12.5,7.4
1996,11.1,19.6,7.2,4.5,11.4,13.2,21.3,12.4,15.7,20,15,10.8
1997,6.1,7.9,5,4.2,10.3,16.4,8.7,9.1,16.9,17.7,19.9,11.5
1998,5.9,3.7,4.7,3.2,5.5,14.2,17.5,14.3,18.3,19,17.7,20.2
1999,8.7,7.2,6.8,6.6,16.5,15.8,13.3,16.5,22.4,25.6,19.1,28.8
2000,16.2,9.4,5.9,5.2,10.3,19.2,10.8,8.9,16.6,14.9,14.6,10.2
2001,9.4,6.2,3.8,4.8,8.6,8.4,8.6,7.1,10.9,11.6,17.7,9.6
2002,9.9,5.7,4.8,4.2,11,7.5,9,10.8,13.8,14.8,21.5,11.6
2003,6,4.2,3.3,5.2,12.4,19.8,11.3,11.9,17.4,21,19.9,24.5
2004,7.8,4.5,4.1,4,15.8,10.9,9.8,7.9,15.9,17.6,31.1,13.8
2005,20,6.7,4.1,5.7,6.6,9.5,7.5,8.9,12.2,15.6,20.1,8.9
2006,12.5,8.4,4.9,4.7,7.5,12.9,13.5,10.4,11.9,12.3,13.9,11.4
2007,5.9,4,3.3,4.3,16.6,10.3,12.6,13.3,17,20.9,25.7,14.4
2008,7.8,5.1,3.4,5.5,15.5,14.4,19.8,18.5,15.7,26.2,47.4,25.4
2009,9.2,17.8,5.4,3.4,7.1,11.8,10.3,11.6,10.4,12.9,13.4,6.1
2010,8.9,4.3,4.9,4.3,7.1,13.8,15.9,21.8,21,19.7,33.7,27.3
2011,16.7,10.3,7.3,6.7,10,13.1,12,14.9,10.8,28,19.4,21.3
2012,12.8,6.8,6,7.2,10.6,9.5,12.2,12.2,14.3,13.4,23.3,8.3
2013,5.3,4.3,4.7,4.3,5.9,6.4,8.60070456810617,9.8510770709116,8.9,13.7,10,7.5
2014,5.9,4.7,4.1,4.3,7.6,11.3,8.6,8.5,18.4,18.6358572199099,11.5,13.5
2015,9.0495381511767,6.72077758974372,3.6,2.6,5.9,7.4,10.4,4.5,7.7,12.5,15.2,7.3
2016,4.1,5.9,2.8,3.1,3.5,3.7,6.5,7.4,7.7,16.6,17.7034629999404,10.6
2017,6.8,6.2,4.43258804290111,4.64883125716797,10,11.8204994391229,7.5,7.7,7.9,12.4,15.8,5.1
2018,6.31518255752627,10.5,10.5,10.9,17.4015418857164,17.9,14.1,10.7,16.5,19.5,11.5,5.5
2019,6.40433023268089,2.1,2,1.8,4.4,6.8,5.3,6.7,8.2,14.5853376324902,15.5723011799999,8.9
2020,7.1,5.5,4.5,4.3,7.4,14.4,9.6,12.5,15.3186029392868,17.4,21.1,14.3406830277439
2021,9.12456194860243,4.6,3.4,9.7,11,11.5,10.6,14.3,14.2,15.4,13.1,9.3
2022,7.54300140411843,6.10149995122275,4.43891066708656,7.9,20.7,16.2251880248427,18.7,18.9,20.1,14.1,10,8.49296406922054
2023,7.5042494844431,4,4.1,3.1,4.1,13.1,8.9,9.95339770757821,13.4895512880448,16.8390867421632,17.9583584368941,12.2927390862076
